account,amount,time,refund,prize,period
7694258,1,6/8/14 8:03,0,1,3
8266688,2.5,6/8/14 8:03,0,1,5
24186114,2.5,6/8/14 8:03,0,1,3
25420033,1,6/8/14 8:03,0,1,3
25714905,1,6/8/14 8:03,0,1,3
27747770,1,6/8/14 8:03,0,1,3
27852614,1,6/8/14 8:03,0,1,17
28518133,0.5,6/8/14 8:03,0,1,3
29395910,5,6/8/14 8:03,0,1,17
24433466,30,6/8/14 8:12,0,0,6
28575013,20,6/8/14 8:13,0,0,4
28575013,20,6/8/14 8:31,0,0,4
26575477,40,6/8/14 8:37,0,0,4
25576269,45,6/8/14 8:44,0,0,18
10489810,10,6/8/14 9:26,0,0,4
21609978,20,6/8/14 9:58,0,0,4
4101463,50,6/8/14 10:07,0,0,4
26541545,25,6/8/14 10:30,0,0,18
27252833,10,6/8/14 11:59,0,0,4
13555825,13,6/8/14 12:37,0,0,4
29395910,100,6/8/14 13:05,0,0,18
27747770,20,6/8/14 17:57,0,0,4
27876492,20,6/8/14 17:57,0,0,4
28518133,10,6/8/14 17:57,0,0,4
26702122,25,6/8/14 18:53,0,0,6
27852614,20,6/8/14 19:33,0,0,18
17703941,10,6/8/14 19:47,0,0,6
17703941,5,6/8/14 19:47,0,0,6
10489810,10,6/8/14 20:18,0,0,4
8323186,20,6/8/14 21:18,0,0,4
28518133,10,6/9/14 7:40,0,0,4
3314125,15,6/9/14 7:50,0,0,6
8323186,2,6/9/14 8:01,0,1,4
10489810,2,6/9/14 8:01,0,1,4
13555825,1.3,6/9/14 8:01,0,1,4
24433466,1.5,6/9/14 8:01,0,1,6
26702122,2.5,6/9/14 8:01,0,1,6
27747770,1,6/9/14 8:01,0,1,4
27852614,1,6/9/14 8:01,0,1,18
27876492,1,6/9/14 8:01,0,1,4
28518133,1,6/9/14 8:01,0,1,4
28575013,2,6/9/14 8:01,0,1,4
29395910,5,6/9/14 8:01,0,1,18
25420033,10,6/9/14 8:05,0,0,5
24846916,15,6/9/14 8:52,0,0,5
26575477,30,6/9/14 9:05,0,0,5
28677734,5,6/9/14 9:29,0,0,7
24186114,15,6/9/14 9:29,0,0,5
25576269,25,6/9/14 10:28,0,0,19
4101463,50,6/9/14 10:31,0,0,5
25576269,25,6/9/14 10:31,0,0,19
13555825,18,6/9/14 12:08,0,0,5
24433466,25,6/9/14 12:45,0,0,7
26386537,20,6/9/14 12:48,0,0,1
18272448,20,6/9/14 12:51,0,0,1
4348548,5,6/9/14 12:51,0,0,1
16066193,20,6/9/14 12:51,0,0,1
22293637,10,6/9/14 12:54,0,0,1
16740270,50,6/9/14 13:55,0,0,1
18272448,100,6/9/14 14:06,0,0,1
8323186,20,6/9/14 14:59,0,0,5
7243729,10,6/9/14 15:04,0,0,1
25857184,10,6/9/14 15:05,0,0,1
16593230,20,6/9/14 15:05,0,0,1
5782840,20,6/9/14 15:05,0,0,1
13582838,20,6/9/14 15:06,0,0,1
23627199,20,6/9/14 15:06,0,0,1
26015946,20,6/9/14 15:07,0,0,1
13311660,5,6/9/14 15:11,0,0,1
10828524,20,6/9/14 15:11,0,0,1
21422589,10,6/9/14 15:16,0,0,1
6299472,15,6/9/14 15:16,0,0,1
20449967,20,6/9/14 15:16,0,0,1
26541545,30,6/9/14 16:12,0,0,19
13311660,15,6/9/14 16:24,0,0,1
7243729,15,6/9/14 16:30,0,0,1
29395910,100,6/9/14 16:35,0,0,19
12232434,10,6/9/14 16:42,0,0,5
16758097,10,6/9/14 16:58,0,0,19
16758097,10,6/9/14 17:04,0,0,19
25714905,40,6/9/14 17:44,0,0,5
10381676,20,6/9/14 17:52,0,0,1
27852614,20,6/9/14 19:01,0,0,19
22789676,20,6/9/14 19:01,0,0,19
3672396,20,6/9/14 19:05,0,0,7
6626578,20,6/9/14 19:32,0,0,1
3200248,20,6/9/14 20:09,0,0,1
16262690,20,6/9/14 20:18,0,0,1
6299472,100,6/9/14 20:48,0,0,1
16740270,15,6/9/14 21:33,0,0,1
7694258,50,6/9/14 21:35,0,0,5
28575013,20,6/9/14 21:40,0,0,5
93675,95,6/9/14 22:00,0,0,19
24433466,25,6/10/14 5:28,0,0,7
22789676,15,6/10/14 7:39,0,0,19
29395910,100,6/10/14 7:51,0,0,19
29395910,-100,6/10/14 7:51,1,0,19
16740270,20,6/10/14 7:56,0,0,1
4101463,49,6/10/14 7:59,0,0,5
7694258,2.5,6/10/14 8:01,0,1,5
8323186,2,6/10/14 8:01,0,1,5
10381676,1,6/10/14 8:01,0,1,1
10828524,2,6/10/14 8:01,0,1,1
13582838,2,6/10/14 8:01,0,1,1
22293637,1,6/10/14 8:01,0,1,1
22789676,3.5,6/10/14 8:01,0,1,19
24186114,0.75,6/10/14 8:01,0,1,5
24433466,2.5,6/10/14 8:01,0,1,7
25420033,0.5,6/10/14 8:01,0,1,5
25714905,2,6/10/14 8:01,0,1,5
26015946,1,6/10/14 8:01,0,1,1
26386537,1,6/10/14 8:01,0,1,1
27852614,1,6/10/14 8:01,0,1,19
28575013,1,6/10/14 8:01,0,1,5
28677734,0.25,6/10/14 8:01,0,1,7
29395910,5,6/10/14 8:01,0,1,19
26702122,20,6/10/14 8:07,0,0,8
25420033,10,6/10/14 8:08,0,0,6
3314125,10,6/10/14 8:09,0,0,8
26702122,5,6/10/14 8:09,0,0,8
11555748,20,6/10/14 8:17,0,0,20
14481345,20,6/10/14 8:37,0,0,2
23627199,30,6/10/14 8:37,0,0,2
13555825,21,6/10/14 8:41,0,0,6
10828524,10,6/10/14 8:42,0,0,2
4348548,10,6/10/14 8:55,0,0,2
16758097,10,6/10/14 9:22,0,0,20
93675,90,6/10/14 10:20,0,0,20
15271805,20,6/10/14 10:25,0,0,2
10089197,5,6/10/14 10:32,0,0,1
23861189,20,6/10/14 10:33,0,0,1
12203570,20,6/10/14 10:34,0,0,1
24960595,20,6/10/14 10:34,0,0,1
24923422,20,6/10/14 10:35,0,0,1
24195945,10,6/10/14 10:35,0,0,1
18149263,5,6/10/14 10:35,0,0,1
21126563,20,6/10/14 10:35,0,0,1
26047589,20,6/10/14 10:35,0,0,1
16280538,20,6/10/14 10:36,0,0,8
3875697,15,6/10/14 10:36,0,0,1
25500661,20,6/10/14 10:37,0,0,1
26130868,5,6/10/14 10:37,0,0,1
16280538,20,6/10/14 10:38,0,0,8
23380244,10,6/10/14 10:38,0,0,1
16057493,15,6/10/14 10:39,0,0,1
25727744,20,6/10/14 10:40,0,0,1
25116854,50,6/10/14 10:41,0,0,2
15736812,15,6/10/14 10:43,0,0,1
